㓦划	bo hua
平地下锹撅	ping di xia qiao jue
平地山胞	ping di shan bao
平地松林	ping di song lin
平地楼台	ping di lou tai
平地波澜	ping di bo lan
平地起孤丁	ping di qi gu ding
平地起孤堆	ping di qi gu dui
平地起风波	ping di qi feng bo
平地青云	ping di qing yun
平地风波	ping di feng bo
平均地权	ping jun di quan
平均地权条例	ping jun di quan tiao li
平埔族	ping pu zu
平妖传	ping yao zhuan
平乐	ping le
平画求长	ping hua qiu chang
平章	pian zhang
平章	ping zhang
平章百姓	pian zhang bo xing
平行	ping xing
平行六面体	ping xing liu mian ti
平行四边形	ping xing si bian xing
平行官署	ping xing guan shu
平行文	ping xing wen
平行线	ping xing xian
平行线支票	ping xing xian zhi piao
平行脉	ping xing mai
平行叶脉	ping xing ye mai
平行表亲	ping xing biao qin
平行输入	ping xing shu ru
平衡觉	ping heng jue
平角	ping jiao
平铇	ping bao
平阜	ping fu
平陆	ping lu
年伯	nian bo
年利率	nian li lv
年均增长	nian jun zeng zhang
年增率	nian zeng lv
年少气盛	nian shao qi sheng
年湮代远	nian yin dai yuan
年轻气盛	nian qing qi sheng
年长	nian zhang
并行	bing xing
幸灾乐祸	xing zai le huo
干了	gan le
干了	gan liao
干什么	gan shen me
干劲	gan jin
干得了	gan de liao
干么	gan ma
么絃	yao xian
么么	yao mo
么么小丑	yao mo xiao chou
幻觉	huan jue
幼学壮行	you xue zhuang xing
幽冥地府	you ming di fu
幽咽	you ye
幽敻	you xiong
幽栖巖谷	you qi yan gu
幽杀	you shai
幽轧	you ya
幽都	you du
几家欢乐几家愁	ji jia huan le ji jia chou
几曾	ji ceng
几次三番	ji ci san fan
几殆	ji dai
几番	ji fan
几番家	ji fan jia
几行	ji hang
庉庉	dun dun
庉庉	tun tun
庋藏	ji cang
底下奏乐	di xia zou yue
底栖生物	di qi sheng wu
底蕴	di yun
店都知	dian du zhi
店长	dian zhang
府宅	fu zhe
府帑	fu tang
庢沓	zhi ta
度假胜地	du jia sheng di
度君子之腹	duo jun zi zhi fu
度德量力	duo de liang li
度量	du liang
度量	duo liang
度长絜大	duo chang xie da
庪县	gui xuan
库狄	she di
库藏	ku cang
庭墀	ting chi
庭长	ting zhang
康乃馨	kang nai xin
康乐	kang le
康乐活动	kang le huo dong
康白度	kang bai du
康白度	kang bo du
康阜	kang fu
庸行	yong xing
厕神	ci shen
厕身	ci shen
厕身其间	ci shen qi jian
厩人	jiu ren
厩肥	jiu fei
厦大	xia da
厦房	xia fang
厦华	xia hua
厦门	xia men
厦门大学	xia men da xue
厦门市	xia men shi
廉白	lian bai
廉白	lian bo
廉纤	lian xian
廉隅	lian yu
廉顽立懦	lian wan li nuo
廌史	zhi shi
廓尔喀人	kuo er ke ren
廛闬	chan han
厮抹	si mo
厮扑行	si pu hang
厮称	si chen
厮称	si cheng
廞塞	qin se
庙朝	miao chao
厂长	chang zhang
废弛	fei shi
废然长叹	fei ran chang tan
废黜	fei chu
广夏细旃	guang xia xi zhan
广厦万间	guang xia wan jian
广播歌仔戏	guang bo ge zi xi
广东住血吸虫	guang dong zhu xie xi chong
广东住血吸虫	guang dong zhu xue xi chong
广欬	guang kai
广畤	guang zhi
广盛	guang sheng
广缉	guang ji
广缉	guang qi
广缉文书	guang ji wen shu
广缉文书	guang qi wen shu
广行善事	guang xing shan shi
广袤	guang mao
广角	guang jiao
广角镜	guang jiao jing
广角镜头	guang jiao jing tou
广长舌	guang chang she
广陆	guang lu
廧崒	qiang zu
廨宇	xie yu
厅长	ting zhang
延地里	yan di li
延属	yan zhu
延聘	yan pin
延蔓	yan man
延袤	yan mao
延厘	yan xi
延长	yan chang
延长线	yan chang xian
延长记号	yan chang ji hao
延长赛	yan chang sai
建地	jian di
建白	jian bai
建白	jian bo
建筑工地	jian zhu gong di
建蔽率	jian bi lv
建行	jian hang
建设用地	jian she yong di
建设银行	jian she yin hang
建都	jian du
弁冕	bian mian
弁目	bian mu
弁绖	bian die
弁言	bian yan
弁髦	bian mao
弄乾坤	nong qian kun
弄月抟风	nong yue tuan feng
弄甏	nong peng
弄粉调朱	nong fen tiao zhu
弄腔调	nong qiang diao
弊衣箪食	bi yi dan si
弋不射宿	yi bu shi su
弓上弦	gong shang xian
弓弦	gong xian
弓调马服	gong tiao ma fu
弔拷绷扒	diao kao beng ba
弔膀子	diao bang zi
引吭	yin hang
引吭高歌	yin hang gao ge
引地	yin di
引慝	yin te
引调	yin tiao
引路幡	yin lu fan
引重	yin zhong
弛废	shi fei
弛张	shi zhang
弛禁	shi jin
弛缓	shi huan
弦不虚发	xian bu xu fa
弦切角	xian qie jiao
弦吹	xian chui
弦外之意	xian wai zhi yi
弦外之音	xian wai zhi yin
弦子	xian zi
弦心距	xian xin ju
弦月	xian yue
弦柱	xian zhu
弦乐	xian yue
弦乐器	xian yue qi
弦歌	xian ge
弦歌不辍	xian ge bu chuo
弦纹	xian wen
弦诵	xian song
弦面板	xian mian ban
弦韦	xian wei
弦高	xian gao
弧角	hu jiao
弩箭离絃	nu jian li xian
弭棹	mi zhao
弭节徘徊	mi jie pai huai
弱怯怯	ruo que que
张僧繇	zhang seng you
张家长李家短	zhang jia chang li jia duan
张弓挟矢	zhang gong xie shi
张弛	zhang shi
张掖县	zhang yi xian
张朝阳	zhang chao yang
张柏芝	zhang bai zhi
张榜	zhang bang
张牙舞爪	zhang ya wu zhao
张牙舞爪	zhang ya wu zhua
张罗殆尽	zhang luo dai jin
张着	zhang zhu
张角	zhang jue
张说	zhang yue
张骞	zhang qian
张黑女墓志铭	zhang he nv mu zhi ming
强似	qiang si
强制执行	qiang zhi zhi xing
强劲	qiang jing
强嘴	jiang zui
强如手拨剌	qiang ru shou bo la
强敌环伺	qiang di huan si
强盛	qiang sheng
强聒不舍	qiang gua bu she
强行	qiang xing
强行法	qiang xing fa
强行军	qiang xing jun
强记洽闻	qiang ji qia wen
强记洽闻	qiang ji xia wen
强调	qiang diao
强还原剂	qiang huan yuan ji
强颜	jiang yan
强颜	qiang yan
强龙不压地头蛇	qiang long bu ya di tou she
弸中彪外	peng zhong biao wai
弸弓	peng gong
彀率	gou lv
别强	bie jiang
别拗	bie niu
弹丸	dan wan
弹丸之地	dan wan zhi di
弹冠	tan guan
弹冠振衣	tan guan zhen yi
弹冠相庆	tan guan xiang qing
弹冠结绶	tan guan jie shou
弹出	tan chu
弹出一个	tan chu yi ge
弹出来	tan chu lai
弹出窗口	tan chu chuang kou
弹剥	tan bo
弹力	tan li
弹劾	tan he
弹劾权	tan he quan
弹劾无私	tan he wu si
弹包	tan bao
弹唱	tan chang
弹坑	dan keng
弹涂鱼	tan tu yu
弹压	tan ya
弹奏	tan zou
弹子房	dan zi fang
弹子台	dan zi tai
弹射	tan she
弹布尔	tan bu er
弹弄	tan long
弹弓	dan gong
弹性	tan xing
弹性上班	tan xing shang ban
弹性势能	tan xing shi neng
弹性工时	tan xing gong shi
弹性放假	tan xing fang jia
弹性模数	tan xing mo shu
弹性疲乏	tan xing pi fa
弹性纤维	tan xing xian wei
弹性制造系统	tan xing zhi zao xi tong
弹性限度	tan xing xian du
弹指	tan zhi
弹指之间	tan zhi zhi jian
弹指神功	tan zhi shen gong
弹挣	tan zheng
弹斤估两	tan jin gu liang
弹棋	tan qi
弹壳	dan ke
弹治	tan zhi
弹无虚发	dan wu xu fa
弹片	dan pian
弹珠	dan zhu
弹珠台	dan zhu tai
弹琴	tan qin
弹琵琶	tan pi pa
弹痕分析	dan hen fen xi
弹尽援绝	dan jin yuan jue
弹着点	dan zhuo dian
弹空说嘴	tan kong shuo zui
弹章	tan zhang
弹簧	tan huang
弹簧刀	tan huang dao
弹簧床	tan huang chuang
弹簧秤	tan huang cheng
弹簧钢	tan huang gang
弹簧门	tan huang men
弹丝品竹	tan si pin zhu
弹腿	tan tui
弹药	dan yao
弹觔估两	tan jin gu liang
弹词	tan ci
弹跳	tan tiao
弹道	dan dao
弹道导弹	dan dao dao dan
弹道飞弹	dan dao fei dan
弹针	tan zhen
弹铗	tan jia
弹铗无鱼	tan jia wu yu
弹钢琴	tan gang qin
弹雨	dan yu
弹头	dan tou
弹驳	tan bo
弹黄调	tan huang diao
彉骑	kuo ji
彊干弱枝	qiang gan ruo zhi
彊弩之末	qiang nu zhi mo
彊志	qiang zhi
彊本	qiang ben
彊本弱末	qiang ben ruo mo
彊本节用	qiang ben jie yong
彊梁	qiang liang
彊御	qiang yu
彊记博闻	qiang ji bo wen
弥天亘地	mi tian gen di
弥纶	mi lun
彖传	tuan zhuan
彖辞	tuan ci
彝伦攸斁	yi lun you du
形似	xing si
形名参同	xing ming can tong
形藏	xing zang
形迹败露	xing ji bai lu
彥国吐屑	yan guo tu xie
彥琮	yan cong
彩塑	cai su
彩调	cai diao
彫章镂句	diao zhang lou ju
彭湃	peng pai
彭聃	peng dan
彰明较著	zhang ming jiao zhu
彰著	zhang zhu
彰露	zhang lu
影塑	ying su
影调	ying diao
影调剧	ying diao ju
彴约	bo yue
仿佛	fang fu
彷徉	pang yang
彷徨	pang huang
彷徨失措	pang huang shi cuo
役畜	yi chu
彼长我消	bi zhang wo xiao
往还	wang huan
往还于	wang huan yu
征剿	zheng jiao
待不了	dai bu liao
待价藏珠	dai jia cang zhu
待贾	dai gu
徇地	xun di
徇行	xun xing
很严重	hen yan zhong
很快乐	hen kuai le
很熟	hen shu
很薄	hen bao
很重	hen zhong
很重要	hen zhong yao
很长	hen chang
很长时间	hen chang shi jian
徉徜	yang chang
徊徨	huai huang
徊翔	huai xiang
律藏	lv zang
后不着店	hou bu zhao dian
后传	hou zhuan
后半晌	hou ban shang
后天失调	hou tian shi tiao
后掠角	hou lve jiao
后晌	hou shang
后知后觉	hou zhi hou jue
后脑杓	hou nao shao
后台老板	hou tai lao ban
后藏	hou zang
后觉	hou jue
后车戒	hou che jie
后车戒	hou ju jie
后重	hou zhong
徐继畬	xu ji yu
徐行	xu xing
徐铉	xu xuan
径行	jing xing
徒步旅行	tu bu lv xing
徒步当车	tu bu dang che
徒步当车	tu bu dang ju
徒行	tu xing
得上	dei shang
得上来	dei shang lai
得上去	dei shang qu
得下	dei xia
得下来	dei xia lai
得下去	dei xia qu
得不偿失	de bu chang shi
得了	de le
得了	de liao
得似	de si
得便宜是落便宜	de pian yi shi luo pian yi
得便宜处失便宜	de pian yi chu shi pian yi
得偿所愿	de chang suo yuan
得先	dei xian
得到什么	de dao shen me
得劲	de jin
得胜回朝	de sheng hui chao
得匣还珠	de xia huan zhu
得去	dei qu
得差	de chai
得有	dei you
得未曾有	de wei ceng you
得权重任	de quan zhong ren
得用	dei yong
得票率	de piao lv
得隽	de jun
徘徊	pai huai
徘徊歧路	pai huai qi lu
徙宅忘妻	xi zhe wang qi
徜徉	chang yang
从中斡旋	cong zhong wo xuan
从伯	cong bo
从伯	zong bo
从兄	cong xiong
从兄	zong xiong
从兄弟	cong xiong di
从兄弟	zong xiong di
从刑	cong xing
从刑	zong xing
从吏	cong li
从吏	zong li
从女	cong nv
从女	zong nv
从子	cong zi
从子	zong zi
从官	cong guan
从官	zong guan
从弟	cong di
从弟	zong di
从母	cong mu
从母	zong mu
从法	cong fa
从法	zong fa
从父	cong fu
从父	zong fu
从犯	cong fan
从犯	zong fan
从约	zong yue
从罚	cong fa
从罚	zong fa
从者	cong zhe
从者	zong zhe
从衡	zong heng
从谂	cong shen
从长计议	cong chang ji yi
御史大夫	yu shi dai fu
复仇	fu chou
复仇雪耻	fu chou xue chi
复子明辟	fu zi ming bi
复兴基地	fu xing ji di
复蹈其辙	fu dao qi che
复蹈其辙	fu dao qi zhe
复蹈前辙	fu dao qian che
复蹈前辙	fu dao qian zhe
复辟	fu bi
循名校实	xun ming jiao shi
循陔	xun gai
徬徨	pang huang
徬徨失措	pang huang shi cuo
徬徨歧路	pang huang qi lu
徬徨歧途	pang huang qi tu
微服私行	wei fu si xing
微纤	wei xian
微薄	wei bo
微血管	wei xie guan
微血管	wei xue guan
微行	wei xing
微调	wei tiao
征地	zheng di
征聘	zheng pin
徵调	zheng diao
徵调	zhi diao	5%
征辟	zheng bi
德尊望重	de zun wang zhong
德懋棠荫	de mao tang yin
德业长昭	de ye chang zhao
德深望重	de shen wang zhong
德浅行薄	de qian xing bo
德薄才疏	de bo cai shu
德薄能鲜	de bo neng xian
德行	de xing
德隆望重	de long wang zhong
德高望重	de gao wang zhong
德黑兰	de he lan
德黑兰会议	de he lan hui yi
徼乱	jiao luan
徼亭	jiao ting
徼外	jiao wai
徼巡	jiao xun
徼幸	jiao xing
徼循	jiao xun
徼福	yao fu
徼道	jiao dao
徽絃	hui xian
徽调	hui diao
心不惬	xin bu qie
心事重重	xin shi chong chong
心地	xin di
心奓体忕	xin chi ti tai
心如刀搅	xin ru dao jiao
心宽体胖	xin kuan ti pan
心广体胖	xin guang ti pan
心弦	xin xian
心律调节器	xin lv tiao jie qi
心怯	xin que
心悬两地	xin xuan liang di
心旌摇曳	xin jing yao ye
心旌摇曳	xin jing yao yi
心潮澎湃	xin chao peng pai
心焦如火	xin jiao ru fen
心率	xin lv
心病还得心药医	xin bing hai dei xin yao yi
心痒难挝	xin yang nan zhua
心肌梗塞	xin ji geng se
心腹重患	xin fu zhong huan
心膂爪牙	xin lv zhao ya
心膂爪牙	xin lv zhua ya
心膂股肱	xin lv gu gong
心胆堕地	xin dan duo di
心脏麻痺	xin zang ma bi
心长发短	xin chang fa duan
心灵音乐	xin ling yin yue
心头小鹿撞个不住	xin tou xiao lu zhuang ge bu zhu
心头撞小鹿	xin tou zhuang xiao lu
心余力绌	xin yu li chu
心惊肉颤	xin jing rou chan
心惊肉颤	xin jing rou zhan
心惊胆慑	xin jing dan zhe
心惊胆颤	xin jing dan zhan
必得	bi dei
必争之地	bi zheng zhi di
忉怛	dao da
忍受得了	ren shou de liao
忍辱负重	ren ru fu zhong
忒忒	te te
忒恁	te nen
忒恁	te ren
忒恶	te e
忒敬思	te jing si
忒楞	te leng
忒楞楞	te leng leng
忒楞楞腾	te leng leng teng
忒杀	te sha
忒没意	te mei yi
忒煞	te sha
忒甚	te shen
忒过	te guo
忖度	cun duo
志行	zhi xing
忘不了	wang bu liao
忙不迭地	mang bu die de
忞忞	min min
忠告	zhong gao
忠告	zhong gu	0%
忠言奇谋	zhong yan qi mo
忨愒	wan kai
快快乐乐	kuai kuai le le
快乐	kuai le
快乐丸	kuai le wan
快乐主义	kuai le zhu yi
快速增长	kuai su zeng zhang
快骑	kuai ji
忭懽	bian huan
忭跃	bian yue
忸忸怩怩	niu niu ni ni
忸怩	niu ni
忸怩作态	niu ni zuo tai
忸捏	niu nie
忽地	hu di
忽忽不乐	hu hu bu le
忽的	hu di
忿懑	fen men
忿懥	fen zhi
忿戾	fen li
怊怅	chao chang
怎地	zen de
怎的	zen de
怎行	zen xing
怎么得了	zen me de liao
怎么搞的	zen me gao de
怎么着	zen me zhao
怏吓	yang he
怏怏不乐	yang yang bu le
怒涛排壑	nu tao pai he
怒涛排壑	nu tao pai huo
怒目攒眉	nu mu cuan mei
怒臂当车	nu bi dang che
怒臂当车	nu bi dang ju
怔住	leng zhu
怔呵呵	leng he he
怔忪	zheng zhong
怔怔	leng leng
怕什么	pa shen me
怕长怕短	pa chang pa duan
怗懘	zhan chi
怙乱	hu luan
怙宠	hu chong
怙恃	hu shi
怙恶不悛	hu e bu quan
怙恶不改	hu e bu gai
怙终	hu zhong
怛伤	da shang
怛化	da hua
怛吒	da zha
怛怛	da da
怛然	da ran
怛然失色	da ran shi se
怛突	da tu
思省	si xing
思齐	si qi
思齐	si zhai
怡然自乐	yi ran zi le
急征重敛	ji zheng zhong lian
急管繁絃	ji guan fan xian
急絃	ji xian
急聒	ji gua
急脉缓受	ji mai huan shou
急脉缓受	ji mo huan shou
急行军	ji xing jun
急惊风撞着慢郎中	ji jing feng zhuang zhao man lang zhong
急惊风遇着慢郎中	ji jing feng yu zhao man lang zhong
性地	xing di
性知识	xing zhi shi
性行	xing xing
性行为	xing xing wei
性变态行为	xing bian tai xing wei
怨仇	yuan chou
怨天怨地	yuan tian yuan di
怨懑	yuan men
怨艾	yuan yi
怪模怪样	guai mu guai yang
怪着	guai zhao
怪着	guai zhe
怪腔怪调	guai qiang guai diao
怪谲	guai jue
怫然不悅	fu ran bu yue
怫然变色	fu ran bian se
怫异	bei yi
怫郁	fu yu
怯上	que shang
怯口	que kou
怯场	que chang
怯夫	que fu
怯弱	que ruo
怯怯	que que
怯怯乔乔	que que qiao qiao
怯怯的	qie qie de
怯怯羞羞	que que xiu xiu
怯怜户	que lian hu
怯懦	que nuo
怯死	que si
怯床	que chuang
怯生	que sheng
怯生生	que sheng sheng
怯症	que zheng
怯礼	que li
怯声怯气	que sheng que qi
怯话	que hua
怯阵	que zhen
怯头怯恼	que tou que nao
恁地	nen de
恁地	ren de
恁的	nen de
恁的	ren de
恁么	nen me
恁么	ren me
恇怯	kuang que
恐吓	kong he
恐吓信	kong he xin
恐吓性	kong he xing
恐吓罪	kong he zui
恝置	jia zhi
恣心所欲	zi xin suo yu
恣情	zi qing
恣情纵欲	zi qing zong yu
恣意	zi yi
恣意妄为	zi yi wang wei
恣意妄行	zi yi wang xing
恣睢	ci sui
恣睢	zi sui
恣睢无忌	ci sui wu ji
恣睢无忌	zi sui wu ji
恣纵	zi zong
恣肆	zi si
恣肆无忌	zi si wu ji
恣虐	zi nve
恧然	nv ran
恧缩	nv suo
恨苦修行	hen ku xiu xing
恩仇	en chou
恩威并著	en wei bing zhu
恩威并行	en wei bing xing
恩威并重	en wei bing zhong
恩将仇报	en jiang chou bao
恩深义重	en shen yi zhong
恩给制	en ji zhi
恩赐	en ci
恩赐	en si
恩重丘山	en zhong qiu shan
恩重如山	en zhong ru shan
恩露	en lu
恫喝	dong he
恫吓	dong he
恫疑虚喝	dong yi xu he
恫疑虚猲	dong yi xu he
恫瘝	tong guan
恫瘝在抱	tong guan zai bao
恫瘝在身	tong guan zai shen
恬澹	tian dan
恬谧	tian mi
恭本正传	gong ben zheng zhuan
恭行天罚	gong xing tian fa
恭逢其盛	gong feng qi sheng
息妫	xi gui
息贲	xi ben
息黥补劓	xi qing bu yi
恰似	qia si
恰便似	qia bian si
悄似	qiao si
悄怆	qiao chuang
悅乐	yue le
悉率	xi shuo
悉索薄赋	xi suo bo fu
悍戾	han li
悒悒不乐	yi yi bu le
悔之亡及	hui zhi wu ji
悖缪	bei miu
悖谬	bei miu
悛容	quan rong
悛心	quan xin
悛悛	quan quan
悛改	quan gai
悛革	quan ge
悠谬	you miu
悠长	you chang
悢悢	liang liang
悲吒	bei zha
悲咽	bei ye
悲怆	bei chuang
悲怆交响曲	bei chuang jiao xiang qu
悲恸	bei tong
悴薄	cui bo
怅怳	chang huang
怅恨	chang hen
怅怅	chang chang
怅惋	chang wan
怅惘	chang wang
怅惜	chang xi
怅望	chang wang
怅然	chang ran
怅然自失	chang ran zi shi
怅然若失	chang ran ruo shi
闷不吭声	men bu keng sheng
闷闷不乐	men men bu le
闷闷渴渴	men men he he
闷瞀	men mao
悽怆	qi chuang
惄如调饥	ni ru tiao ji
情仇	qing chou
情怯	qing que
情感天地	qing gan tian di
情投意洽	qing tou yi qia
情投意洽	qing tou yi xia
情深似海	qing shen si hai
情深意重	qing shen yi zhong
情深义重	qing shen yi zhong
情熟	qing shu
情节严重	qing jie yan zhong
情见乎言	qing xian hu yan
情见乎辞	qing xian hu ci
情见力屈	qing xian li qu
情见势屈	qing xian shi qu
情见势竭	qing xian shi jie
情调	qing diao
情重如山	qing zhong ru shan
情长纸短	qing chang zhi duan
惆怅	chou chang
惋怆	wan chuang
惏悷	lin li
惏栗	lin li
惓惓	quan quan
惙怛	chuo da
惝怳	chang huang
惝然	chang ran
惠施五车	hui shi wu che
惠施五车	hui shi wu ju
惠赐	hui ci
惠赐	hui si
恶之欲其死	wu zhi yu qi si
恶事行千里	e shi xing qian li
恶哏哏	e hen hen
恶地	e di
恶嫌	wu xian
恶性贫血	e xing pin xie
恶性贫血	e xing pin xue
恶恶	wu e
恶恶从短	wu e cong duan
恶有	wu you
恶湿居下	wu shi ju xia
恶直丑正	wu zhi chou zheng
恶稔祸盈	e ren huo ying
恶稔罪盈	e ren zui ying
恶稔贯盈	e ren guan ying
恶紫夺朱	wu zi duo zhu
恶行	e xing
恶醉强酒	wu zui qiang jiu
恶露	e lu
恼懆	nao cao
恼聒	nao gua
想什么	xiang shen me
想度	xiang duo
惹祸招愆	re huo zhao qian
惹罪招愆	re zui zhao qian
惹草粘花	re cao nian hua
恻怛	ce da
恻怛之心	ce da zhi xin
恻怆	ce chuang
愀怆	qiao chuang
愀然	qiao ran
愆伏	qian fu
愆家	qian jia
愆尤	qian you
愆序	qian xu
愆德	qian de
愆忒	qian te
愆期	qian qi
愆滞	qian zhi
愆疴	qian e
愆程	qian cheng
愆义	qian yi
愆阳	qian yang
愆面	qian mian
愉愉呴呴	yu yu xu xu
愎戾	bi li
愎谏	bi jian
意味深长	yi wei shen chang
意度	yi du
意度	yi duo
意志消沈	yi zhi xiao chen
意意似似	yi yi si si
意义深长	yi yi shen chang
愒日	kai ri
愓愓	shang shang
愕眙	e chi
愚懦	yu nuo
愚戆	yu zhuang
愚氓	yu meng
爱国者飞弹	ai guo zhe fei dan
爱心刮刮乐	ai xin gua gua le
爱新觉罗	ai xin jue luo
爱远恶近	ai yuan wu jin
惬心	qie xin
惬意	qie yi
惬怀	qie huai
惬气	qie qi
惬当	qie dang
惬贴	qie tie
感动天地	gan dong tian di
感天动地	gan tian dong di
感怆	gan chuang
感觉	gan jue
感觉不到	gan jue bu dao
感觉器官	gan jue qi guan
感觉真好	gan jue zhen hao
愣怔	leng leng
愧恧	kui nv
愧惶无地	kui huang wu di
怆地呼天	chuang di hu tian
怆天呼地	chuang tian hu di
怆恍	chuang huang
怆悢	chuang liang
怆惶	chuang huang
怆恻	chuang ce
怆怆	chuang chuang
怆慌	chuang huang
怆然	chuang ran
怆然垂首	chuang ran chui shou
恺悌	kai ti
恺悌君子	kai ti jun zi
恺乐	kai yue
忾愤	kai fen
慅慅	sao sao
慈乌反哺	ci wu fan bu
慈乌返哺	ci wu fan bu
慊慊	qian qian
慎行	shen xing
慎重	shen zhong
慎重其事	shen zhong qi shi
惨怛	can da
惨怆	can chuang
惨澹	can dan
惨澹经营	can dan jing ying
惨然不乐	can ran bu le
惨礉	can he
惨重	can zhong
惭恧	can nv
惭愧无地	can kui wu di
惭沮	can ju
惭凫企鹤	can fu qi he
恸哭	tong ku
恸哭流涕	tong ku liu ti
恸绝	tong jue
慢藏诲盗	man cang hui dao
慢调	man diao
慢调子	man diao zi
惯熟	guan shu
惯行犯	guan xing fan
慥慥	zao zao
慧给	hui ji
慧觉	hui jue
虑周行果	lv zhou xing guo
慰借	wei jie
悭吝	qian lin
悭吝苦克	qian lin ku ke
悭啬霖	qian se lin
悭囊	qian nang
悭钱	qian qian
慴伏	zhe fu
慴息	zhe xi
庆伯利	qing bo li
慺慺	lou lou
慾壑难填	yu he nan tian
慾壑难填	yu huo nan tian
憁恫	zong dong
忧喜参半	you xi can ban
忧心如惔	you xin ru tan
憃愚	chong yu
憋憋懆懆	bie bie cao cao
憋懆	bie cao
憋拗	bie niu
憎恶	zeng e
憎恶	zeng wu
凭什么	ping shen me
凭借	ping jie
憔悴	qiao cui
憔虑	qiao lv
愤怒痉挛	fen nu jing lvan
愤忾	fen kai
愤懑	fen men
愤薄	fen bo
憩室	qi shi
憩息	qi xi
憸人	xian ren
憸佞	xian ning
憸邪	xian xie
懁急	xuan ji
懂行	dong hang
懆懆	cao cao
懆暴	cao bao
懈弛	xie chi
应弦饮羽	ying xian yin yu
应收帐款周转率	ying shou zhang kuan zhou zhuan lv
应玚	ying yang
应璩	ying qu
应聘	ying pin
懊憹	ao nao
懋典	mao dian
懋勋	mao xun
懋勤殿	mao qin dian
懋绩	mao ji
懋迁	mao qian
懑懑	men men
懑然	men ran
懦夫	nuo fu
懦弱	nuo ruo
懦愚	nuo yu
懦钝	nuo dun
懦响	nuo xiang
惩一戒百	cheng yi jie bo
惩一警百	cheng yi jing bo
惩羹吹齑	cheng geng chui ji
懵然未觉	meng ran wei jue
懒觉	lan jiao
怀宝夜行	huai bao ye xing
怀恶不悛	huai e bu quan
怀铅提椠	huai qian ti qian
怀铅握椠	huai qian wo qian
悬揣	xuan chuan
悬液剂	xuan ye ji
悬浊液	xuan zhuo ye
悬的过高	xuan di guo gao
悬丝傀儡	xuan si kui lei
悬薄	xuan bo
悬车之年	xuan che zhi nian
悬车之年	xuan ju zhi nian
悬车告老	xuan che gao lao
悬车告老	xuan ju gao lao
悬车致仕	xuan che zhi shi
悬车致仕	xuan ju zhi shi
悬针垂露	xuan zhen chui lou
惧怯	ju que
懽喜	huan xi
懽悰	huan cong
慑人	zhe ren
慑人心魄	zhe ren xin po
慑息	zhe xi
慑慴	zhe zhe
慑服	zhe fu
懿濞	yi pi
懿範长昭	yi fan chang zhao
懿行	yi xing
恋生恶死	lian sheng wu si
戆小子	zhuang xiao zi
戆直	zhuang zhi
戈什	ge shi
戈什哈	ge shi ha
戌削	xu xiao
戎旃	rong zhan
戎行	rong hang
成不了	cheng bu liao
成功率	cheng gong lv
成本会计	cheng ben kuai ji
成活率	cheng huo lv
成熟	cheng shu
成熟度	cheng shu du
成熟期	cheng shu qi
成绩斐然	cheng ji fei ran
成行	cheng xing
成蹊	cheng xi
成都	cheng du
成都人	cheng du ren
成都市	cheng du shi
成都平原	cheng du ping yuan
成都卖卜	cheng du mai bu
成长	cheng zhang
成长性	cheng zhang xing
成长率	cheng zhang lv
成长股	cheng zhang gu
成长过程	cheng zhang guo cheng
我不入地狱	wo bu ru di yu
我俩	wo lia
我们俩	wo men lia
我是谁	wo shi shui
我曾	wo ceng
我行	wo hang
我行其野	wo xing qi ye
我行我素	wo xing wo su
戒烟	jie yan
戒行	jie xing
戕害	qiang hai
戕害不辜	qiang hai bu gu
戕败	qiang bai
戕贼	qiang ze
或然率	huo ran lv
戛戛	jia jia
戛然	jia ran
戛然而止	jia ran er zhi
戛玉敲冰	jia yu qiao bing
戛玉敲金	jia yu qiao jin
戛玉锵金	jia yu qiang jin
戛云	jia yun
戢兵	ji bing
戢戢	ji ji
戢景	ji ying
戢止	ji zhi
戢翼	ji yi
戢身	ji shen
戢鳞	ji lin
戢鳞潜翼	ji lin qian yi
戤米囤饿杀了	gai mi dun e sha le
戗戗	qiang qiang
戗柱	qiang zhu
戗金	qiang jin
戬谷	jian gu
截长补短	jie chang bu duan
战地	zhan di
战地政务	zhan di zheng wu
战地春梦	zhan di chun meng
战地通讯	zhan di tong xun
战地钟声	zhan di zhong sheng
战天斗地	zhan tian dou di
戏下	hui xia
戏戟	hui ji
戏提调	xi ti diao
戏行	xi hang
戏谑	xi xue
戴天之仇	dai tian zhi chou
戴天履地	dai tian lv di
戴凭重席	dai ping chong xi
戴月披星	dai yue pi xing
戴高乐	dai gao le
户口名簿	hu kou ming bu
户口校正	hu kou jiao zheng
户口调查	hu kou diao cha
户枢不朽	hu shu bu xiu
户枢不蠹	hu shu bu du
户籍行政	hu ji xing zheng
户给人足	hu ji ren zu
户长	hu zhang
戹屯歌	e zhun ge
戾天	li tian
戾止	li zhi
戾气	li qi
房中乐	fang zhong yue
房地	fang di
房地产	fang di chan
房地产共同基金	fang di chan gong tong ji jin
房地产商	fang di chan shang
房地产业	fang di chan ye
房宿钱	fang su qian
所向披靡	suo xiang pi mi
所在地	suo zai di
所在地区	suo zai di qu
所得弹性	suo de tan xing
所所长	suo suo chang
所着	suo zhuo
所著	suo zhu
扁柏	bian bo
扁毛畜生	bian mao chu sheng
扁舟	pian zhou
扃户	jiong hu
扃扃	jiong jiong
扃绢	jiong juan
